code,name,activity,days,start_time,end_time,room,section,teacher
101436,مداواة الأسنان اللبية (2),عملي,الثلاثاء / السبت,8:00 AM,12:00 PM,مخبر5,1,ه.ت
101436,مداواة الأسنان اللبية (2),نظري,الأحد,8:00 AM,12:00 PM,6119,1,د. عمار عيد
101436,مداواة الأسنان اللبية (2),عملي,الثلاثاء / السبت,12:00 PM,4:00 PM,مخبر5,2,ه.ت
101441,التعويضات السنية الجزئية المتحركة(2),نظري,الاثنين,8:00 AM,12:00 PM,6125,1,د. نورا زيدان
101441,التعويضات السنية الجزئية المتحركة(2),عملي,الأحد,12:00 PM,4:00 PM,عيادة 2ص,1,ه.ت
101441,التعويضات السنية الجزئية المتحركة(2),عملي,الثلاثاء,12:00 PM,4:00 PM,عيادة 2ص,2,ه.ت
101442,التعويضات السنية الكاملة المتحركة (1),نظري,السبت,8:00 AM,12:00 PM,6124,1,د. غسان وزير
101442,التعويضات السنية الكاملة المتحركة (1),عملي,الاثنين,8:00 AM,12:00 PM,عيادة 2ص,1,ه.ت
101442,التعويضات السنية الكاملة المتحركة (1),عملي,الثلاثاء,8:00 AM,12:00 PM,عيادة 2ص,2,ه.ت
101443,التعويضات الثابتة (3),نظري,الاثنين,8:00 AM,12:00 PM,6120,1,د.ناصر القبق
101443,التعويضات الثابتة (3),عملي,السبت,8:00 AM,12:00 PM,عيادة 4 ث,1,ه.ت
101443,التعويضات الثابتة (3),عملي,الاثنين,12:00 PM,4:00 PM,عيادة 4 ث,2,ه.ت
101453,طب الفم (1),نظري,الثلاثاء,8:00 AM,10:00 AM,6038,1,د. نسيم يوسف
101457,طب الفم (1) عملي,عملي,السبت,8:00 AM,12:00 PM,عيادة 8,1,ه.ت
101457,طب الفم (1) عملي,عملي,الاثنين,12:00 PM,4:00 PM,عيادة 8,2,ه.ت
101461,تقويم الأسنان (2),نظري,الثلاثاء,12:00 PM,4:00 PM,6119,1,د. محمد خونده
